date,time,booking_id,booking_status,customer_id,vehicle_type,pickup_location,drop_location,avg_vtat,avg_ctat,customer_cancel_reason,driver_cancel_reason,incomplete_reason,booking_value,ride_distance,driver_rating,customer_rating
16-11-2025,15:43,BLR4000000,Cancelled_by_Driver,CUST10583,Bike,Indiranagar,Lavelle_Road,,,,Exceeds_people_limit,,,,,
06-11-2025,13:47,BLR4000001,Cancelled_by_Customer,CUST10759,Prime_SUV,Nagawara,Bommanahalli,,,Driver_asked_to_cancel,,,,,,
04-11-2025,05:55,BLR4000002,Success,CUST10751,eBike,Bellandur,Hennur,13.8,17.7,,,,79.7,4.52,3,4
18-11-2025,16:09,BLR4000003,Success,CUST10490,Prime_SUV,Peenya,Hebbal,7.1,16.9,,,,66.34,1.69,4,5
19-11-2025,22:15,BLR4000004,Incomplete,CUST10320,Prime_Plus,Basavanagudi,Basavanagudi,,,,,Vehicle_breakdown,,,,
03-11-2025,18:29,BLR4000005,Success,CUST10211,Prime_Sedan,Yelahanka,Electronic_City,7.4,24.3,,,,140.16,4.23,3,4
14-11-2025,20:20,BLR4000006,Incomplete,CUST10427,Auto,Peenya,Bommanahalli,,,,,Vehicle_breakdown,,,,
11-11-2025,15:01,BLR4000007,Cancelled_by_Customer,CUST10556,Mini,Adugodi,Bellandur,,,Change_of_plans,,,,,,
29-11-2025,06:55,BLR4000008,Success,CUST10238,Prime_SUV,Vijayanagar,Banashankari,5.9,9.5,,,,115.49,3.13,5,4
30-11-2025,08:14,BLR4000009,Success,CUST10508,Auto,Malleshwaram,Banashankari,4.1,7.1,,,,104.14,3.58,5,4
30-11-2025,06:59,BLR4000010,Cancelled_by_Customer,CUST10267,eBike,Banaswadi,HSR_Layout,,,Wrong_address,,,,,,
27-11-2025,23:56,BLR4000011,Success,CUST10092,Bike,Basavanagudi,Hebbal,9.4,26.1,,,,41.23,1.02,3,3
30-11-2025,10:52,BLR4000012,Cancelled_by_Customer,CUST10119,Prime_Sedan,Vijayanagar,Shivaji_Nagar,,,AC_not_working,,,,,,
27-11-2025,04:05,BLR4000013,Cancelled_by_Customer,CUST10169,Bike,Banashankari,Ulsoor,,,Driver_not_moving,,,,,,
02-11-2025,00:13,BLR4000014,Cancelled_by_Customer,CUST10408,Prime_Sedan,Hennur,Horamavu,,,Driver_not_moving,,,,,,
08-11-2025,10:03,BLR4000015,Success,CUST10218,Mini,Banerghatta_Road,Kengeri,1.2,9.8,,,,89.12,3.94,3,5
08-11-2025,04:47,BLR4000016,Cancelled_by_Driver,CUST10366,Mini,KR_Puram,Sanjay_Nagar,,,,Exceeds_people_limit,,,,,
01-11-2025,14:43,BLR4000017,Success,CUST10204,Bike,Peenya,KR_Puram,1.7,17.2,,,,45.06,1.37,4,4
24-11-2025,00:21,BLR4000018,Success,CUST10012,Prime_Sedan,JP_Nagar,BTM_Layout,7,16.4,,,,57.13,1.81,5,4
29-11-2025,18:34,BLR4000019,Success,CUST10340,Prime_SUV,Domlur,Lavelle_Road,3,8.1,,,,110.22,5.35,5,4
03-11-2025,22:12,BLR4000020,Incomplete,CUST10181,Bike,Banashankari,Kengeri,,,,,Vehicle_breakdown,,,,
22-11-2025,01:24,BLR4000021,Success,CUST10378,Mini,Jayanagar,Basavanagudi,9.8,26,,,,97.29,4.49,5,4
17-11-2025,20:44,BLR4000022,Incomplete,CUST10789,Bike,Peenya,Bellandur,,,,,Vehicle_breakdown,,,,
15-11-2025,00:48,BLR4000023,Success,CUST10414,Prime_SUV,Frazer_Town,Cooke_Town,14.9,17.4,,,,88.61,1.94,3,5
22-11-2025,06:20,BLR4000024,Success,CUST10737,Prime_SUV,Malleshwaram,Koramangala,9.7,23.1,,,,67.85,1.77,5,4
20-11-2025,07:38,BLR4000025,Cancelled_by_Driver,CUST10687,Prime_SUV,KR_Puram,Richmond_Town,,,,Personal_and_car_issues,,,,,
23-11-2025,18:53,BLR4000026,Success,CUST10409,Prime_SUV,KR_Puram,Hennur,10.8,25.9,,,,163.62,8.91,4,5
08-11-2025,06:38,BLR4000027,Success,CUST10578,eBike,Sarjapur_Road,Ulsoor,13.3,30.8,,,,49.82,1.8,5,4
17-11-2025,07:19,BLR4000028,Success,CUST10041,eBike,Kasturba_Road,Whitefield,10.6,16.8,,,,150.2,10.93,4,4
07-11-2025,06:36,BLR4000029,Cancelled_by_Customer,CUST10665,Bike,Ulsoor,KR_Puram,,,Wrong_address,,,,,,
27-11-2025,12:20,BLR4000030,Success,CUST10780,eBike,Wilson_Garden,Cooke_Town,2.4,19.8,,,,52.29,1.23,4,4
26-11-2025,18:15,BLR4000031,Cancelled_by_Customer,CUST10575,Prime_SUV,RT_Nagar,Nagawara,,,Driver_not_moving,,,,,,
